Kennziffer;Raumeinheit;Aggregat;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01053014";"Breitenfelde";"Gemeinden";"-5,48";"-33,01";"33,30";"-8,40";"-11,94";"13,46";"0,00";"10,14";"4,71"
"01053015";"Bröthen";"Gemeinden";"4,41";"8,62";"3,88";"46,59";"3,61";"32,37";"13,16";"33,03";"6,25"
"01053016";"Brunsmark";"Gemeinden";"81,30";"33,33";"58,39";"32,89";"-38,96";"-60,40";"18,87";"-53,69";"12,82"
"01053017";"Brunstorf";"Gemeinden";"-4,44";"94,46";"52,45";"14,42";"15,67";"-4,69";"56,55";"22,94";"-3,80"
"01053018";"Buchholz";"Gemeinden";"-4,35";"-17,86";"18,10";"53,06";"29,79";"-4,35";"0,00";"-21,19";"-25,21"
"01053019";"Buchhorst";"Gemeinden";"37,43";"-64,86";"17,24";"-64,94";"65,87";"-12,20";"-51,95";"47,30";"0,00"
"01053020";"Büchen";"Gemeinden";"0,36";"8,14";"2,56";"2,90";"-2,50";"7,20";"12,47";"26,11";"23,61"
"01053021";"Dahmker";"Gemeinden";"40,98";"0,00";"-7,46";"19,74";"0,00";"72,73";"-13,61";"51,95";"6,10"
"01053022";"Dalldorf";"Gemeinden";"3,06";"-5,90";"-11,87";"8,45";"27,62";"0,00";"-37,79";"23,19";"14,45"
"01053023";"Dassendorf";"Gemeinden";"26,17";"-11,34";"2,92";"3,87";"-9,43";"-6,31";"8,37";"9,07";"4,09"
"01053024";"Düchelsdorf";"Gemeinden";"-121,21";"13,79";"6,02";"55,90";"0,00";"-32,89";"54,22";"-56,25";"0,00"
"01053025";"Duvensee";"Gemeinden";"43,91";"13,44";"9,35";"14,90";"9,47";"23,85";"31,97";"23,64";"21,70"
"01053026";"Einhaus";"Gemeinden";"-11,11";"-37,36";"5,70";"-5,08";"15,46";"21,11";"-27,36";"4,72";"-2,22"
"01053027";"Elmenhorst";"Gemeinden";"-44,06";"17,65";"9,97";"13,06";"-13,04";"-24,17";"8,22";"12,78";"-1,15"
"01053028";"Escheburg";"Gemeinden";"55,95";"40,00";"24,43";"45,61";"-9,02";"-9,30";"-0,88";"3,43";"58,35"
"01053029";"Fitzen";"Gemeinden";"36,79";"37,57";"-5,60";"16,53";"-21,86";"37,36";"36,01";"13,30";"10,28"
"01053030";"Fredeburg";"Gemeinden";"83,33";"0,00";"-64,52";"128,21";"-189,19";"21,28";"-52,63";"-66,67";"21,28"
"01053031";"Fuhlenhagen";"Gemeinden";"13,56";"3,25";"29,51";"30,41";"-17,12";"56,72";"77,72";"2,54";"-32,17"
"01053032";"Geesthacht, Stadt";"Gemeinden";"0,25";"7,50";"9,42";"0,20";"3,32";"11,31";"1,61";"15,12";"16,67"
"01053033";"Giesensdorf";"Gemeinden";"10,00";"-81,08";"-49,50";"30,93";"21,51";"127,82";"-47,62";"38,22";"-63,22"
"01053034";"Göldenitz";"Gemeinden";"9,85";"18,96";"-13,76";"-8,93";"-16,81";"-12,99";"-4,27";"-8,73";"42,02"
"01053035";"Göttin";"Gemeinden";"-21,74";"0,00";"-65,22";"18,18";"60,00";"70,18";"44,78";"-51,72";"29,85"
"01053036";"Grabau";"Gemeinden";"-76,00";"42,31";"-42,11";"-17,67";"-24,31";"48,23";"14,25";"-2,88";"18,87"
"01053037";"Grambek";"Gemeinden";"-5,43";"-2,62";"7,52";"17,41";"12,25";"9,57";"52,74";"-13,94";"75,17"
"01053038";"Grinau";"Gemeinden";"55,75";"131,03";"85,03";"87,23";"56,21";"42,62";"73,83";"153,61";"108,84"
"01053039";"Groß Boden";"Gemeinden";"0,00";"-9,57";"-28,44";"-18,87";"-4,61";"35,53";"-64,36";"9,90";"4,50"
"01053040";"Groß Disnack";"Gemeinden";"76,09";"-20,00";"-10,99";"-22,22";"11,63";"36,14";"23,81";"0,00";"70,59"
"01053041";"Groß Grönau";"Gemeinden";"-2,72";"18,41";"13,15";"4,55";"-1,41";"-3,36";"-0,54";"25,10";"15,34"
"01053042";"Groß Pampau";"Gemeinden";"-18,69";"102,56";"31,01";"15,75";"21,74";"6,80";"-19,74";"-6,58";"16,22"
"01053043";"Groß Sarau";"Gemeinden";"11,02";"-3,64";"-40,42";"-27,43";"14,12";"35,22";"14,97";"7,79";"25,34"
"01053044";"Groß Schenkenberg";"Gemeinden";"34,55";"9,33";"-1,85";"-24,44";"-31,84";"7,49";"3,62";"-1,77";"-1,71"
"01053045";"Grove";"Gemeinden";"42,19";"0,00";"25,00";"-21,74";"15,81";"-27,78";"-34,19";"19,38";"0,00"
"01053046";"Gudow";"Gemeinden";"7,81";"36,67";"3,11";"-43,72";"-10,01";"-14,15";"19,95";"-1,20";"2,21"
"01053047";"Gülzow";"Gemeinden";"41,40";"48,84";"3,06";"13,84";"12,85";"4,04";"55,60";"14,37";"2,96"
"01053048";"Güster";"Gemeinden";"23,39";"54,79";"27,90";"14,13";"28,48";"-7,32";"7,82";"-3,79";"-7,72"
"01053049";"Hamfelde";"Gemeinden";"-1,98";"-11,32";"2,01";"13,13";"-62,05";"4,29";"18,37";"8,28";"98,42"
"01053050";"Hamwarde";"Gemeinden";"9,55";"26,67";"10,74";"10,55";"-13,05";"29,30";"27,81";"0,00";"-12,66"
"01053051";"Harmsdorf";"Gemeinden";"-22,81";"-38,96";"-23,70";"32,79";"22,14";"38,71";"9,43";"-16,03";"28,94"
"01053052";"Havekost";"Gemeinden";"24,79";"-40,00";"14,60";"-28,99";"-33,11";"5,65";"-16,85";"-16,13";"19,90"
"01053053";"Hohenhorn";"Gemeinden";"48,17";"-41,28";"24,50";"-15,77";"30,55";"1,89";"-1,88";"19,78";"0,00"
"01053054";"Hollenbek";"Gemeinden";"-9,98";"76,06";"-15,35";"-27,21";"-2,25";"23,47";"-7,19";"17,74";"-4,31"
"01053056";"Hornbek";"Gemeinden";"-58,82";"31,09";"0,00";"-37,63";"82,87";"-39,33";"-26,32";"30,00";"-57,69"
"01053057";"Horst";"Gemeinden";"-11,28";"-108,33";"25,21";"-32,39";"-16,88";"-45,25";"9,80";"25,97";"7,19"
"01053058";"Juliusburg";"Gemeinden";"-9,95";"-5,08";"-20,41";"-5,32";"21,86";"0,00";"55,56";"76,09";"0,00"
"01053059";"Kankelau";"Gemeinden";"4,98";"0,00";"75,83";"18,10";"-28,71";"-39,80";"-14,22";"8,93";"-30,57"
"01053060";"Kasseburg";"Gemeinden";"-3,62";"-28,62";"1,77";"11,19";"3,79";"23,85";"-3,42";"-1,72";"36,79"
"01053061";"Kastorf";"Gemeinden";"-16,83";"15,83";"9,87";"-20,94";"-13,51";"-22,59";"-20,68";"42,35";"20,27"
"01053062";"Kittlitz";"Gemeinden";"-63,67";"15,50";"14,08";"-47,62";"47,24";"-57,85";"0,00";"14,34";"-16,89"
"01053064";"Klein Pampau";"Gemeinden";"-22,46";"-60,06";"-25,84";"-10,82";"13,05";"0,00";"-8,00";"41,30";"-4,42"
"01053066";"Klein Zecher";"Gemeinden";"-13,89";"50,00";"12,66";"60,24";"-8,10";"12,05";"20,41";"-8,40";"16,26"
"01053067";"Klempau";"Gemeinden";"18,15";"-3,62";"81,53";"29,03";"3,22";"3,19";"-3,21";"-13,25";"9,90"
