Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
"08119";"Rems-Murr-Kreis";"Kreise";"62,65";"62,54";"61,39";"60,34"
"08121";"Heilbronn, Stadtkreis";"Kreise";"57,98";"56,76";"54,59";"53,16"
"08125";"Heilbronn";"Kreise";"67,13";"66,53";"65,39";"64,31"
"08126";"Hohenlohekreis";"Kreise";"67,59";"67,87";"66,97";"66,25"
"08127";"Schwäbisch Hall";"Kreise";"66,50";"66,73";"65,84";"65,04"
"08128";"Main-Tauber-Kreis";"Kreise";"70,37";"70,77";"69,45";"68,40"
"08135";"Heidenheim";"Kreise";"66,40";"66,26";"65,19";"63,50"
"08136";"Ostalbkreis";"Kreise";"67,78";"67,77";"66,37";"65,38"
"08211";"Baden-Baden, Stadtkreis";"Kreise";"60,38";"59,44";"57,59";"55,94"
"08212";"Karlsruhe, Stadtkreis";"Kreise";"49,00";"46,89";"44,11";"43,04"
"08215";"Karlsruhe";"Kreise";"63,60";"63,60";"62,09";"60,79"
"08216";"Rastatt";"Kreise";"68,39";"68,06";"67,09";"66,00"
"08221";"Heidelberg, Stadtkreis";"Kreise";"38,38";"35,78";"32,69";"31,74"
"08222";"Mannheim, Stadtkreis";"Kreise";"51,06";"50,24";"47,97";"46,55"
"08225";"Neckar-Odenwald-Kreis";"Kreise";"69,58";"69,92";"69,24";"68,67"
"08226";"Rhein-Neckar-Kreis";"Kreise";"60,82";"60,71";"59,09";"57,78"
"08231";"Pforzheim, Stadtkreis";"Kreise";"59,33";"58,52";"55,71";"54,93"
"08235";"Calw";"Kreise";"68,77";"68,42";"67,36";"66,13"
"08236";"Enzkreis";"Kreise";"68,76";"68,45";"67,29";"66,24"
"08237";"Freudenstadt";"Kreise";"68,62";"69,54";"68,74";"67,45"
"08311";"Freiburg im Breisgau, Stadtkreis";"Kreise";"47,77";"45,33";"42,33";"40,63"
"08315";"Breisgau-Hochschwarzwald";"Kreise";"66,18";"65,22";"63,47";"62,01"
"08316";"Emmendingen";"Kreise";"67,21";"67,33";"65,82";"64,09"
"08317";"Ortenaukreis";"Kreise";"68,50";"68,87";"67,63";"66,27"
"08325";"Rottweil";"Kreise";"66,49";"67,55";"67,27";"67,26"
"08326";"Schwarzwald-Baar-Kreis";"Kreise";"65,98";"66,14";"65,47";"64,19"
"08327";"Tuttlingen";"Kreise";"65,99";"65,97";"65,14";"63,94"
"08335";"Konstanz";"Kreise";"60,73";"60,42";"58,60";"57,31"
"08336";"Lörrach";"Kreise";"64,36";"64,57";"64,11";"62,73"
"08337";"Waldshut";"Kreise";"67,05";"67,70";"67,13";"65,82"
"08415";"Reutlingen";"Kreise";"62,70";"62,65";"61,58";"60,64"
"08416";"Tübingen";"Kreise";"55,90";"54,32";"51,77";"50,74"
"08417";"Zollernalbkreis";"Kreise";"66,50";"67,82";"67,62";"66,71"
"08421";"Ulm, Stadtkreis";"Kreise";"52,46";"50,76";"47,96";"46,44"
"08425";"Alb-Donau-Kreis";"Kreise";"66,88";"66,83";"65,83";"65,08"
"08426";"Biberach";"Kreise";"68,41";"68,63";"67,63";"66,59"
"08435";"Bodenseekreis";"Kreise";"61,70";"61,50";"59,89";"58,63"
"08436";"Ravensburg";"Kreise";"65,55";"65,85";"64,93";"63,92"
