Kennziffer;Raumeinheit;Aggregat;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte
;;;2000;2004;2009;2013;2017;2021;2023
"01053082";"Lanze";"Gemeinden";"33,81";"44,97";"45,86";"33,59";"32,30";"29,31";"32,08"
"01053083";"Lauenburg/ Elbe, Stadt";"Gemeinden";"1.598,74";"1.541,40";"1.471,80";"1.472,12";"1.505,33";"1.541,95";"1.534,41"
"01053084";"Lehmrade";"Gemeinden";"49,12";"42,54";"47,19";"49,30";"52,11";"57,54";"60,09"
"01053085";"Linau";"Gemeinden";"130,95";"134,16";"134,68";"133,44";"139,54";"132,40";"134,27"
"01053086";"Lüchow";"Gemeinden";"46,10";"47,40";"46,10";"62,55";"66,81";"63,12";
"01053087";"Lütau";"Gemeinden";"63,17";"66,81";"70,20";"70,91";"73,75";"75,53";"71,53"
"01053088";"Mechow";"Gemeinden";"23,93";"22,57";"24,83";"28,22";"31,15";"32,51";"33,18"
"01053089";"Möhnsen";"Gemeinden";"74,06";"77,41";"81,53";"82,09";"101,74";"99,87";"105,22"
"01053090";"Mölln, Stadt";"Gemeinden";"970,66";"962,51";"951,02";"982,63";"1.014,57";"1.026,07";"1.052,02"
"01053091";"Mühlenrade";"Gemeinden";"55,61";"57,75";"57,22";"52,14";"45,99";"46,52";
"01053092";"Müssen";"Gemeinden";"101,05";"92,23";"94,07";"93,02";"108,12";"118,41";"120,42"
"01053093";"Mustin";"Gemeinden";"61,20";"64,06";"67,34";"68,43";"67,42";"66,16";"67,59"
"01053094";"Niendorf bei Berkenthin";"Gemeinden";"49,62";"50,13";"48,12";"52,63";"47,62";"47,62";
"01053095";"Niendorf/ Stecknitz";"Gemeinden";"81,21";"82,40";"73,72";"84,30";"81,09";"80,62";"82,88"
"01053096";"Nusse";"Gemeinden";"191,00";"189,39";"187,46";"202,89";"216,24";"231,67";"230,23"
"01053097";"Panten";"Gemeinden";"52,35";"54,01";"52,86";"48,88";"49,46";"51,34";"52,35"
"01053098";"Pogeez";"Gemeinden";"103,33";"90,91";"85,37";"88,69";"130,82";"136,81";"152,77"
"01053099";"Poggensee";"Gemeinden";"67,65";"74,82";"73,71";"66,54";"67,46";"64,52";
"01053100";"Ratzeburg, Stadt";"Gemeinden";"584,78";"605,88";"607,49";"622,02";"662,83";"676,16";"697,82"
"01053101";"Ritzerau";"Gemeinden";"27,09";"27,45";"25,83";"27,54";"28,17";"26,82";"27,09"
"01053102";"Römnitz";"Gemeinden";"14,37";"15,34";"15,53";"13,01";"11,84";"9,32";"14,56"
"01053103";"Rondeshagen";"Gemeinden";"90,96";"95,06";"94,53";"95,27";"93,06";"92,32";"97,90"
"01053104";"Roseburg";"Gemeinden";"32,78";"33,46";"34,63";"36,85";"36,39";"36,08";"36,64"
"01053105";"Sachsenwald (Forstgutsbez.),gemfr.Geb.";"Gemeinden";"0,00";"0,00";"0,00";"0,03";;"0,00";"0,00"
"01053106";"Sahms";"Gemeinden";"55,97";"65,49";"69,53";"68,35";"73,11";"74,24";
"01053107";"Salem";"Gemeinden";"24,93";"24,18";"24,37";"25,57";"26,22";"26,93";"29,32"
"01053108";"Sandesneben";"Gemeinden";"275,69";"311,26";"325,61";"345,02";"375,69";"384,50";"385,64"
"01053109";"Schiphorst";"Gemeinden";"62,82";"70,80";"74,97";"78,28";"81,72";"88,83";"87,12"
"01053110";"Schmilau";"Gemeinden";"59,83";"59,05";"70,65";"65,28";"79,74";"71,95";"60,43"
"01053111";"Schnakenbek";"Gemeinden";"66,82";"68,74";"67,20";"67,97";"68,28";"72,58";"72,73"
