Kennziffer;Raumeinheit;Aggregat;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01053037";"Grambek";"Gemeinden";"9,00";"10,00";"14,00";"7,00";"6,00";"8,00";"7,00";"8,00"
"01053038";"Grinau";"Gemeinden";"4,00";"2,00";"4,00";"2,00";"3,00";"1,00";"2,00";"2,00"
"01053039";"Groß Boden";"Gemeinden";"9,00";"8,00";"10,00";"9,00";"8,00";"5,00";"9,00";"6,00"
"01053040";"Groß Disnack";"Gemeinden";"1,00";"7,00";"2,00";"2,00";"1,00";"1,00";"2,00";"2,00"
"01053041";"Groß Grönau";"Gemeinden";"114,00";"100,00";"97,00";"73,00";"51,00";"52,00";"47,00";"43,00"
"01053042";"Groß Pampau";"Gemeinden";"2,00";"6,00";"8,00";"4,00";"5,00";"4,00";"1,00";"3,00"
"01053043";"Groß Sarau";"Gemeinden";"18,00";"32,00";"35,00";"17,00";"16,00";"12,00";"10,00";"18,00"
"01053044";"Groß Schenkenberg";"Gemeinden";"16,00";"20,00";"20,00";"9,00";"10,00";"7,00";"8,00";"13,00"
"01053045";"Grove";"Gemeinden";"8,00";"5,00";"4,00";"5,00";"9,00";"3,00";"3,00";"1,00"
"01053046";"Gudow";"Gemeinden";"63,00";"61,00";"82,00";"40,00";"37,00";"28,00";"26,00";"27,00"
"01053047";"Gülzow";"Gemeinden";"44,00";"41,00";"47,00";"35,00";"23,00";"30,00";"27,00";"24,00"
"01053048";"Güster";"Gemeinden";"37,00";"42,00";"37,00";"22,00";"25,00";"24,00";"28,00";"36,00"
"01053049";"Hamfelde";"Gemeinden";"2,00";"13,00";"15,00";"8,00";"4,00";"5,00";"7,00";"12,00"
"01053050";"Hamwarde";"Gemeinden";"18,00";"21,00";"26,00";"22,00";"14,00";"15,00";"17,00";"16,00"
"01053051";"Harmsdorf";"Gemeinden";"9,00";"6,00";"6,00";"5,00";"3,00";"5,00";"2,00";"3,00"
"01053052";"Havekost";"Gemeinden";"3,00";"3,00";"7,00";"3,00";"4,00";"2,00";"2,00";"3,00"
"01053053";"Hohenhorn";"Gemeinden";"12,00";"9,00";"18,00";"15,00";"17,00";"14,00";"10,00";"9,00"
"01053054";"Hollenbek";"Gemeinden";"19,00";"20,00";"27,00";"19,00";"17,00";"12,00";"12,00";"13,00"
"01053056";"Hornbek";"Gemeinden";"13,00";"16,00";"17,00";"7,00";"5,00";"5,00";"6,00";"6,00"
"01053057";"Horst";"Gemeinden";"10,00";"9,00";"11,00";"5,00";"3,00";"3,00";"4,00";"4,00"
"01053058";"Juliusburg";"Gemeinden";"9,00";"11,00";"8,00";"5,00";"3,00";"1,00";"3,00";"3,00"
"01053059";"Kankelau";"Gemeinden";"7,00";"6,00";"10,00";"6,00";"2,00";"6,00";"4,00";"3,00"
"01053060";"Kasseburg";"Gemeinden";"23,00";"12,00";"14,00";"6,00";"10,00";"7,00";"10,00";"7,00"
"01053061";"Kastorf";"Gemeinden";"33,00";"35,00";"49,00";"28,00";"27,00";"22,00";"9,00";"16,00"
"01053062";"Kittlitz";"Gemeinden";"7,00";"10,00";"9,00";"9,00";"11,00";"4,00";"4,00";"3,00"
"01053064";"Klein Pampau";"Gemeinden";"32,00";"25,00";"38,00";"17,00";"17,00";"14,00";"10,00";"10,00"
"01053066";"Klein Zecher";"Gemeinden";"5,00";"12,00";"15,00";"11,00";"2,00";"3,00";"3,00";"3,00"
"01053067";"Klempau";"Gemeinden";"21,00";"10,00";"15,00";"9,00";"9,00";"8,00";"8,00";"8,00"
"01053068";"Klinkrade";"Gemeinden";"22,00";"20,00";"24,00";"20,00";"12,00";"7,00";"12,00";"10,00"
"01053069";"Koberg";"Gemeinden";"21,00";"17,00";"25,00";"18,00";"18,00";"9,00";"17,00";"9,00"
"01053070";"Köthel";"Gemeinden";"2,00";"7,00";"7,00";"6,00";"2,00";"6,00";"3,00";"4,00"
"01053071";"Kollow";"Gemeinden";"20,00";"20,00";"15,00";"15,00";"11,00";"9,00";"6,00";"9,00"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"29,00";"25,00";"33,00";"18,00";"17,00";"14,00";"23,00";"31,00"
"01053073";"Krüzen";"Gemeinden";"9,00";"10,00";"17,00";"9,00";"6,00";"3,00";"9,00";"4,00"
"01053074";"Krukow";"Gemeinden";"3,00";"6,00";"4,00";"5,00";"2,00";"2,00";"2,00";"2,00"
"01053075";"Krummesse";"Gemeinden";"56,00";"65,00";"61,00";"49,00";"28,00";"30,00";"32,00";"25,00"
"01053076";"Kuddewörde";"Gemeinden";"36,00";"38,00";"37,00";"16,00";"17,00";"14,00";"13,00";"21,00"
"01053077";"Kühsen";"Gemeinden";"17,00";"15,00";"12,00";"10,00";"5,00";"4,00";"9,00";"4,00"
"01053078";"Kulpin";"Gemeinden";"4,00";"8,00";"8,00";"4,00";"3,00";"3,00";"5,00";"6,00"
"01053079";"Labenz";"Gemeinden";"26,00";"21,00";"30,00";"14,00";"15,00";"13,00";"10,00";"11,00"
"01053080";"Langenlehsten";"Gemeinden";"2,00";"10,00";"10,00";"8,00";"7,00";"4,00";"3,00";"6,00"
"01053081";"Lankau";"Gemeinden";"18,00";"13,00";"15,00";"10,00";"14,00";"8,00";"10,00";"11,00"
"01053082";"Lanze";"Gemeinden";"5,00";"17,00";"16,00";"14,00";"7,00";"7,00";"10,00";"6,00"
"01053083";"Lauenburg/ Elbe, Stadt";"Gemeinden";"691,00";"729,00";"850,00";"690,00";"712,00";"595,00";"565,00";"547,00"
"01053084";"Lehmrade";"Gemeinden";"18,00";"23,00";"27,00";"14,00";"20,00";"16,00";"15,00";"13,00"
"01053085";"Linau";"Gemeinden";"19,00";"24,00";"35,00";"20,00";"18,00";"18,00";"22,00";"16,00"
"01053086";"Lüchow";"Gemeinden";"2,00";"7,00";"15,00";"5,00";"7,00";"6,00";"8,00";"5,00"
"01053087";"Lütau";"Gemeinden";"17,00";"14,00";"26,00";"17,00";"15,00";"9,00";"12,00";"14,00"
"01053088";"Mechow";"Gemeinden";"1,00";"3,00";"0,00";"1,00";"3,00";"2,00";"2,00";"0,00"
