Kennziffer;Raumeinheit;Aggregat;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"06634";"Schwalm-Eder-Kreis";"Kreise";"4,42";"4,23";"4,13";"3,91";"3,61";"4,03";"6,99";"8,28";"9,86"
"06635";"Waldeck-Frankenberg";"Kreise";"5,77";"5,61";"5,19";"5,04";"4,68";"4,77";"8,06";"9,44";"10,76"
"06636";"Werra-Meißner-Kreis";"Kreise";"4,03";"3,67";"3,36";"3,29";"3,24";"3,52";"7,02";"8,00";"8,46"
"07111";"Koblenz, kreisfreie Stadt";"Kreise";"7,80";"8,85";"9,44";"9,67";"9,11";"8,95";"12,71";"14,96";"16,45"
"07131";"Ahrweiler";"Kreise";"7,50";"7,67";"7,31";"7,20";"6,77";"6,33";"9,14";"10,08";"10,43"
"07132";"Altenkirchen (Westerwald)";"Kreise";"5,71";"5,57";"5,53";"5,49";"5,19";"5,15";"7,19";"8,21";"10,03"
"07133";"Bad Kreuznach";"Kreise";"7,46";"7,74";"7,79";"7,98";"8,05";"7,21";"9,84";"11,42";"12,80"
"07134";"Birkenfeld";"Kreise";"4,17";"4,15";"4,45";"4,63";"4,60";"4,34";"7,73";"10,57";"12,17"
"07135";"Cochem-Zell";"Kreise";"2,53";"2,82";"3,09";"3,22";"3,56";"4,61";"6,98";"8,32";"10,55"
"07137";"Mayen-Koblenz";"Kreise";"4,65";"4,88";"4,99";"4,89";"4,75";"4,85";"7,55";"9,00";"10,38"
"07138";"Neuwied";"Kreise";"6,51";"6,95";"6,75";"6,76";"6,65";"6,68";"9,10";"10,56";"11,74"
"07140";"Rhein-Hunsrück-Kreis";"Kreise";"3,81";"3,84";"3,97";"4,30";"4,19";"4,60";"7,38";"8,78";"10,98"
"07141";"Rhein-Lahn-Kreis";"Kreise";"4,41";"4,68";"5,23";"5,13";"4,90";"5,34";"8,32";"9,86";"10,96"
"07143";"Westerwaldkreis";"Kreise";"7,32";"7,34";"7,07";"6,87";"6,38";"6,18";"8,49";"9,44";"10,61"
"07211";"Trier, kreisfreie Stadt";"Kreise";"7,13";"8,11";"8,61";"8,58";"8,26";"8,86";"13,11";"15,88";"17,89"
"07231";"Bernkastel-Wittlich";"Kreise";"4,95";"4,64";"4,73";"5,18";"5,49";"5,91";"9,38";"11,36";"13,02"
"07232";"Eifelkreis Bitburg-Prüm";"Kreise";"3,88";"4,24";"4,32";"5,04";"6,36";"8,13";"12,13";"15,35";"17,72"
"07233";"Vulkaneifel";"Kreise";"3,48";"3,58";"3,52";"3,67";"3,96";"4,47";"7,13";"8,46";"9,86"
"07235";"Trier-Saarburg";"Kreise";"4,45";"4,36";"4,69";"5,09";"6,38";"6,84";"10,07";"11,89";"13,55"
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";"Kreise";"13,68";"14,28";"13,27";"12,79";"12,73";"13,15";"16,29";"19,56";"20,95"
"07312";"Kaiserslautern, kreisfreie Stadt";"Kreise";"10,12";"10,16";"11,32";"11,88";"11,22";"10,68";"15,53";"19,05";"21,54"
"07313";"Landau in der Pfalz, kreisfreie Stadt";"Kreise";"8,25";"8,08";"7,72";"7,60";"7,24";"6,95";"9,89";"11,10";"12,57"
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";"Kreise";"20,14";"21,64";"22,16";"21,77";"21,63";"21,34";"24,98";"28,28";"29,80"
